gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.449329, d0W0.45578, d0W1, d0W0.45578, d0W0.449329, d1W1, d1W0.449329, d1W0.45578, d1W1, d1W0.45578, d1W0.449329, d2W1, d2W0.449329, d2W0.45578, d2W1, d2W0.45578, d2W0.449329, d3W1, d3W0.449329, d3W0.45578, d3W1, d3W0.45578, d3W0.449329, d4W1, d4W0.449329, d4W0.45578, d4W1, d4W0.45578, d4W0.449329, d5W1, d5W0.449329, d5W0.45578, d5W1, d5W0.45578, d5W0.449329, d6W1, d6W0.449329, d6W0.45578, d6W1, d6W0.45578, d6W0.449329, d7W1, d7W0.449329, d7W0.45578, d7W1, d7W0.45578, d7W0.449329, 
510, 1,1,0.9975,0.8375,0.115,0.0025,0,0,1,1,0.995,0.85,0.09,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,3,2,195,2,3,158,23,19,158,19,23,163,24,13,163,13,24,196,2,2,196,2,2,199,0,1,199,1,0,200,0,0,200,0,0,
520, 1,1,0.9875,0.865,0.115,0.005,0,0,1,1,0.9875,0.8575,0.1075,0.0025,0,0,200,0,0,200,0,0,199,0,1,199,1,0,194,0,6,194,6,0,166,16,18,166,18,16,170,11,19,170,19,11,195,2,3,195,3,2,199,0,1,199,1,0,200,0,0,200,0,0,
530, 1,1,0.9925,0.885,0.0975,0.0025,0,0,1,1,0.9925,0.8625,0.1075,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,193,2,5,193,5,2,159,18,23,159,23,18,171,14,15,171,15,14,195,1,4,195,4,1,200,0,0,200,0,0,200,0,0,200,0,0,
540, 1,1,0.995,0.895,0.175,0.005,0,0,1,1,0.9925,0.895,0.1875,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,1,1,198,1,1,169,21,10,169,10,21,152,22,26,152,26,22,194,0,6,194,6,0,200,0,0,200,0,0,200,0,0,200,0,0,
550, 1,1,0.995,0.8625,0.1175,0.0025,0,0,1,1,0.995,0.8675,0.125,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,164,24,12,164,12,24,155,26,19,155,19,26,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,
560, 1,1,0.995,0.9075,0.125,0.0125,0,0,1,1,1,0.885,0.1175,0.02,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,0,2,198,2,0,172,15,13,172,13,15,159,19,22,159,22,19,192,3,5,192,5,3,200,0,0,200,0,0,200,0,0,200,0,0,
570, 1,1,0.99,0.865,0.145,0.0025,0,0,1,1,0.995,0.8925,0.145,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,194,1,5,194,5,1,147,31,22,147,22,31,147,26,27,147,27,26,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,
580, 1,1,0.9925,0.87,0.1275,0.0175,0.0025,0,1,1,0.9975,0.8725,0.1375,0.0125,0.0025,0,200,0,0,200,0,0,200,0,0,200,0,0,198,1,1,198,1,1,169,20,11,169,11,20,139,33,28,139,28,33,191,3,6,191,6,3,200,0,0,200,0,0,200,0,0,200,0,0,
590, 1,1,0.985,0.84,0.15,0.015,0,0,1,1,0.985,0.8375,0.155,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,3,1,196,1,3,168,23,9,168,9,23,160,22,18,160,18,22,194,1,5,194,5,1,200,0,0,200,0,0,200,0,0,200,0,0,
600, 1,0.9975,0.9825,0.8375,0.155,0.005,0,0,1,1,0.9925,0.8475,0.1575,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,187,8,5,187,5,8,163,25,12,163,12,25,168,17,15,168,15,17,199,1,0,199,0,1,200,0,0,200,0,0,200,0,0,200,0,0,
610, 1,1,0.9975,0.87,0.1125,0.0025,0,0,1,1,1,0.8725,0.1075,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,2,1,197,1,2,157,24,19,157,19,24,154,25,21,154,21,25,194,1,5,194,5,1,200,0,0,200,0,0,200,0,0,200,0,0,
620, 1,1,0.9975,0.915,0.1275,0.005,0,0,1,1,0.9975,0.8975,0.125,0.01,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,165,17,18,165,18,17,170,16,14,170,14,16,196,1,3,196,3,1,200,0,0,200,0,0,200,0,0,200,0,0,
630, 1,1,0.9975,0.8225,0.145,0.01,0,0,1,1,0.995,0.8325,0.145,0.01,0,0,200,0,0,200,0,0,200,0,0,200,0,0,194,2,4,194,4,2,174,16,10,174,10,16,160,29,11,160,11,29,195,2,3,195,3,2,200,0,0,200,0,0,200,0,0,200,0,0,
640, 1,1,0.985,0.865,0.175,0.01,0,0,1,1,0.995,0.88,0.175,0.0125,0,0,200,0,0,200,0,0,199,0,1,199,1,0,194,3,3,194,3,3,165,24,11,165,11,24,155,28,17,155,17,28,199,1,0,199,0,1,200,0,0,200,0,0,200,0,0,200,0,0,
650, 1,1,0.9925,0.825,0.115,0.01,0,0,1,1,0.9925,0.8175,0.1075,0.0125,0,0,200,0,0,200,0,0,199,0,1,199,1,0,193,3,4,193,4,3,157,27,16,157,16,27,159,21,20,159,20,21,190,5,5,190,5,5,200,0,0,200,0,0,200,0,0,200,0,0,
660, 1,1,1,0.9025,0.1325,0.01,0,0,1,1,0.9975,0.88,0.1525,0.0125,0.0025,0,200,0,0,200,0,0,200,0,0,200,0,0,197,1,2,197,2,1,159,23,18,159,18,23,161,24,15,161,15,24,192,5,3,192,3,5,200,0,0,200,0,0,200,0,0,200,0,0,
670, 1,1,0.9925,0.88,0.145,0.0075,0,0,1,1,0.99,0.885,0.1575,0.0125,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,161,22,17,161,17,22,154,22,24,154,24,22,197,0,3,197,3,0,200,0,0,200,0,0,200,0,0,200,0,0,
680, 1,1,0.995,0.9225,0.1525,0.01,0,0,1,1,1,0.9225,0.135,0.015,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,178,16,6,178,6,16,153,23,24,153,24,23,195,1,4,195,4,1,199,0,1,199,1,0,200,0,0,200,0,0,
690, 1,1,0.9925,0.8775,0.1275,0.005,0,0,1,1,0.9925,0.8825,0.115,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,1,2,197,2,1,149,20,31,149,31,20,175,15,10,175,10,15,196,0,4,196,4,0,198,0,2,198,2,0,200,0,0,200,0,0,
700, 1,1,0.9975,0.84,0.12,0.01,0,0,1,1,0.9925,0.835,0.1075,0.0125,0.0025,0,200,0,0,200,0,0,199,1,0,199,0,1,196,2,2,196,2,2,144,31,25,144,25,31,149,16,35,149,35,16,194,1,5,194,5,1,199,0,1,199,1,0,200,0,0,200,0,0,
710, 1,1,0.99,0.8775,0.105,0.0075,0,0,1,1,0.9925,0.87,0.115,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,193,3,4,193,4,3,151,28,21,151,21,28,152,22,26,152,26,22,195,0,5,195,5,0,200,0,0,200,0,0,200,0,0,200,0,0,
720, 1,1,0.9975,0.89,0.08,0.0025,0,0,1,1,0.99,0.89,0.0925,0.0025,0.0025,0,200,0,0,200,0,0,199,0,1,199,1,0,196,1,3,196,3,1,168,17,15,168,15,17,173,11,16,173,16,11,196,0,4,196,4,0,200,0,0,200,0,0,200,0,0,200,0,0,
